id_photo;chemin_fichier;DatePhoto
1;/storage/emulated/0/Android/data/com.example.planteinvasives/files/Pictures/JPEG_20220322_193052_4086193540502885980.jpg;22/03/2022 19:30:52
2;/storage/emulated/0/Android/data/com.example.planteinvasives/files/Pictures/JPEG_20220323_180137_3992683208758885664.jpg;23/03/2022 18:01:37
3;/storage/emulated/0/Android/data/com.example.planteinvasives/files/Pictures/JPEG_20220323_180212_724497126677036246.jpg;23/03/2022 18:02:12
4;/storage/emulated/0/Android/data/com.example.planteinvasives/files/Pictures/JPEG_20220323_180253_8230767298339243081.jpg;23/03/2022 18:02:53
5;/storage/emulated/0/Android/data/com.example.planteinvasives/files/Pictures/JPEG_20220323_211513_8989004851438439011.jpg;23/03/2022 21:15:13
